section,code,R,G,B,HEX,note
表6–8 酸性—中酸性侵入岩用色,Hd,210,99,161,#d263a1,按侵入岩大类及时代选用
表9 中性侵入岩用色,Cz,77,230,255,#4de6ff,按侵入岩大类及时代选用
表9 中性侵入岩用色,Mz,51,217,255,#33d9ff,按侵入岩大类及时代选用
表9 中性侵入岩用色,Pz2,25,217,255,#19d9ff,按侵入岩大类及时代选用
表9 中性侵入岩用色,Pz1,0,217,255,#00d9ff,按侵入岩大类及时代选用
表9 中性侵入岩用色,Pt3,38,204,255,#26ccff,按侵入岩大类及时代选用
表9 中性侵入岩用色,Pt2,13,204,255,#0dccff,按侵入岩大类及时代选用
表9 中性侵入岩用色,Pt1,64,204,255,#40ccff,按侵入岩大类及时代选用
表9 中性侵入岩用色,Ar3,48,218,242,#30daf2,按侵入岩大类及时代选用
表9 中性侵入岩用色,Ar2,24,218,242,#18daf2,按侵入岩大类及时代选用
表9 中性侵入岩用色,Ar1,12,206,242,#0ccef2,按侵入岩大类及时代选用
表9 中性侵入岩用色,Ar0,0,194,242,#00c2f2,按侵入岩大类及时代选用
表9 中性侵入岩用色,Hd,36,182,242,#24b6f2,按侵入岩大类及时代选用
表10 基性侵入岩用色,Cz,77,255,77,#4dff4d,按侵入岩大类及时代选用
表10 基性侵入岩用色,Mz,51,255,51,#33ff33,按侵入岩大类及时代选用
表10 基性侵入岩用色,Pz2,25,255,51,#19ff33,按侵入岩大类及时代选用
表10 基性侵入岩用色,Pz1,0,255,0,#00ff00,按侵入岩大类及时代选用
表10 基性侵入岩用色,Pt3,77,242,77,#4df24d,按侵入岩大类及时代选用
表10 基性侵入岩用色,Pt2,51,230,77,#33e64d,按侵入岩大类及时代选用
表10 基性侵入岩用色,Pt1,25,217,77,#19d94d,按侵入岩大类及时代选用
表10 基性侵入岩用色,Ar3,64,230,25,#40e619,按侵入岩大类及时代选用
表10 基性侵入岩用色,Ar2,51,217,25,#33d919,按侵入岩大类及时代选用
表10 基性侵入岩用色,Ar1,38,204,25,#26cc19,按侵入岩大类及时代选用
表10 基性侵入岩用色,Ar0,25,191,25,#19bf19,按侵入岩大类及时代选用
表10 基性侵入岩用色,Hd,24,194,48,#18c230,按侵入岩大类及时代选用
表11 超基性侵入岩用色,Cz,153,153,255,#9999ff,按侵入岩大类及时代选用
表11 超基性侵入岩用色,Mz,153,128,255,#9980ff,按侵入岩大类及时代选用
表11 超基性侵入岩用色,Pz2,153,102,255,#9966ff,按侵入岩大类及时代选用
表11 超基性侵入岩用色,Pz1,153,77,255,#994dff,按侵入岩大类及时代选用
表11 超基性侵入岩用色,Pt3,128,128,255,#8080ff,按侵入岩大类及时代选用
表11 超基性侵入岩用色,Pt2,128,102,255,#8066ff,按侵入岩大类及时代选用
表11 超基性侵入岩用色,Pt1,128,77,255,#804dff,按侵入岩大类及时代选用
表11 超基性侵入岩用色,Ar3,102,128,255,#6680ff,按侵入岩大类及时代选用
表11 超基性侵入岩用色,Ar2,102,102,255,#6666ff,按侵入岩大类及时代选用
表11 超基性侵入岩用色,Ar1,102,77,255,#664dff,按侵入岩大类及时代选用
表11 超基性侵入岩用色,Ar0,102,51,255,#6633ff,按侵入岩大类及时代选用
表11 超基性侵入岩用色,Hd,97,85,242,#6155f2,按侵入岩大类及时代选用
表12 碱性侵入岩用色,Cz,255,230,102,#ffe666,按侵入岩大类及时代选用
表12 碱性侵入岩用色,Mz,255,217,89,#ffd959,按侵入岩大类及时代选用
表12 碱性侵入岩用色,Pz2,255,204,77,#ffcc4d,按侵入岩大类及时代选用
表12 碱性侵入岩用色,Pz1,255,204,51,#ffcc33,按侵入岩大类及时代选用
表12 碱性侵入岩用色,Pt3,255,191,89,#ffbf59,按侵入岩大类及时代选用
表12 碱性侵入岩用色,Pt2,255,179,77,#ffb34d,按侵入岩大类及时代选用
表12 碱性侵入岩用色,Pt1,255,179,51,#ffb333,按侵入岩大类及时代选用
表12 碱性侵入岩用色,Ar3,242,206,97,#f2ce61,按侵入岩大类及时代选用
表12 碱性侵入岩用色,Ar2,242,206,73,#f2ce49,按侵入岩大类及时代选用
表12 碱性侵入岩用色,Ar1,242,194,61,#f2c23d,按侵入岩大类及时代选用
表12 碱性侵入岩用色,Ar0,242,194,48,#f2c230,按侵入岩大类及时代选用
表12 碱性侵入岩用色,Hd,237,178,59,#edb23b,按侵入岩大类及时代选用
侵入岩岩性大类兜底色,acid_intermediate,242,85,133,#f25585,该岩性无具体时代信息时的兜底色
侵入岩岩性大类兜底色,neutral,77,230,255,#4de6ff,该岩性无具体时代信息时的兜底色
侵入岩岩性大类兜底色,basic,51,255,51,#33ff33,该岩性无具体时代信息时的兜底色
侵入岩岩性大类兜底色,ultrabasic,128,102,255,#8066ff,该岩性无具体时代信息时的兜底色
侵入岩岩性大类兜底色,alkaline,255,204,77,#ffcc4d,该岩性无具体时代信息时的兜底色
其他兜底/特殊用色,special_unit,220,220,200,#dcdcc8,标准未规定面色时的兜底色
其他兜底/特殊用色,unknown,200,200,200,#c8c8c8,标准未规定面色时的兜底色
