ID,fault_code,fault_type_code,dip_angle,numeric_attr,length_m,length_km,azimuth_deg,strike_deg,confidence_code,activity_era_code,occurrence_code,description
1,,01,72.0,11.424102783203125,11419.578420406759,11.419578420406758,30.84628417484234,30.84628417484234,101,101,109,"D1s,D2t,ψ1D"
2,,01,69.0,11.77022933959961,11765.698148778814,11.765698148778814,30.40408610264903,30.40408610264903,101,101,109,"D1s,D2t"
4,,01,0.0,3.8969905376434326,3896.610789587279,3.896610789587279,270.60955079114206,90.60955079114206,101,101,109,"D1s,D2t"
5,,05,73.0,18.13394546508789,18126.81786160844,18.12681786160844,24.140305594721156,24.140305594721156,101,101,101,D1s
6,,01,0.0,18.586641311645508,18579.39539548396,18.57939539548396,197.0099868123835,17.009986812383488,101,101,109,"D1s,D2t"
7,,01,0.0,1.338931679725647,1338.3391889810587,1.3383391889810587,54.02649582358391,54.02649582358391,101,101,109,"D2t,ψ1D"
8,,01,0.0,12.025585174560547,12020.896021755862,12.020896021755862,201.56314649072496,21.56314649072496,101,101,109,"D2t,D1s,ψ1D"
9,,05,75.0,20.58602523803711,20577.979280809126,20.577979280809124,25.52457160258268,25.52457160258268,101,101,101,"D2t,D1s"
10,,01,0.0,15.793346405029297,15787.184423539766,15.787184423539765,15.76720371256145,15.76720371256145,101,101,109,"S3-4t,D1s,ψ1D"
11,,01,0.0,8.185691833496094,8182.509292890723,8.182509292890723,202.36883509552172,22.368835095521717,101,101,109,"D2t,D1s"
12,,05,0.0,2.665271282196045,2664.133483613954,2.664133483613954,218.53174284191456,38.531742841914564,101,101,101,"D2t,K1kz"
13,,05,0.0,9.419315338134766,9415.642558682188,9.415642558682189,35.57862295063184,35.57862295063184,101,101,101,"C2kk,C2ak"
14,,01,0.0,17.671905517578125,17664.946263330065,17.664946263330066,191.6776756906287,11.67767569062869,101,101,109,"K1kz,C2kk,C2ak"
15,,01,0.0,1.340593695640564,1340.0169896731443,1.3400169896731442,283.9493766802469,103.94937668024693,101,101,109,"C2ak,C2kk"
16,,01,0.0,0.16620345413684845,166.13839697602396,0.16613839697602395,227.28943380184583,47.28943380184583,101,101,109,"C2ak,C2kk"
17,,01,0.0,12.417038917541504,12412.175852242504,12.412175852242504,209.37153349897233,29.371533498972326,101,101,109,"C2ak,C1y"
18,,01,0.0,7.247898101806641,7244.95031395886,7.24495031395886,40.29402241423843,40.29402241423843,101,101,109,"ChA.,C2ak,C1y,C2kk,J3kz,K1kz,K2Y"
